titulo,direccion,precio,descripcion,construido,terreno,fecha,ide
Preciosa Casa en Jardines del Bosque,Orion,"MN 7,600,000","Hermosa casa en Jardines del Bosque, cuenta con cochera para dos autos con portón eléctrico, recibidor, medio baño para visitas, sala comedor, terraza, bodega, cocina integral con alacena, cuarto de lavado con closet, oficina o estudio (con entrada desde la casa o por la cochera), en planta alta, 4 recamaras, 2 de ellas con baño completo y vestidor, las otras dos comparten baño completo, area de TV",305m²,175m²,Publicado hace 25 días,55973978
Casa en Venta en Ladrón de Guevara,av. mexico,"MN 8,800,000","Casa Muy amplia ubicada en una de las mejores zonas de Guadalajara, ideal para Notaria, despachos u oficinas. En planta baja, jardín, Cochera para 4 autos, recibidor con medio baño, gran sala - comedor con vista al amplio jardín trasero (80mts), recamara con baño completo, cocina, patio de servicio y cuarto de servicio con baño completo (independiente). En planta alta, sala/ estudio amplio,distribuidor, 4 Recamaras principal con baño y vestidor. En Excelente estado de conservación. *Libre de Gravamen.",400m²,367m²,Publicado hace 11 días,56339654
Casa 4 Recamaras Punto Cerca Pablo Neruda y Americas,Rio de Janeiro No.,"MN 5,940,000","Casa con 4 recámaras, la principal con baño completo, amplios espacios de sala, comedor, cocina integral cuenta con isla, amplia terraza, área de lavado, oficina, cochera, cuenta con portón, protecciones, malla electrificada. Excelente ubicación cerca de Punto Sao Paulo, Pablo Neruda y Américas. Agenda tu cita para que la conozcas!",260m²,180m²,Publicado hace 18 días,56294800
Residencia de Lujo en Venta Rinconada Santa Rita Para Oficina,,"MN 15,000,000",Anuncio en proceso,300m²,300m²,Publicado hace 38 días,
Aprovecha! Hermosa Residencia en Jardines del Bosque! Uso Comercial/habitacional,avenida de los arcos 884,"MN 9,980,000","HERMOSA RESIDENCIA ubicada en Jardines del Bosque, con 593 m2 de CONSTRUCCION. Ideal para uso HABITACIONAL u OFICINAS. Casa con muy buena DISTRIBUCION y un excelente estado de conservación. Con una ubicación PRIVILEGIADA, sobre avenida Arcos y cerca de avenidas principales, plazas comerciales, universidades, etc. Planta baja: -Cochera para 4 autos -Recamara con baño completo -Cocina con amplia alacena y comedor -Amplia Sala con CHIMENEA -Recibidor/antesala -Baño completo para visitas. -TERRAZA amplia -Cuarto de herramientas/Bodega Planta Alta: -Recamara Principal con baño completo y tina. -Dos recamaras con closet y baño compartido. -Balcón que conecta a las 3 habitaciones. -Cuarto de lavado.",593m²,463m²,Publicado hace 112 días,55737100
Casa en Venta Col. Vallarta Poniente,TEQUILA #88 COL. VALLARTA PONIENTE,"MN 6,450,000","CASA CON EXCELENTE UBICACIÓN EN EL CORAZÓN DE LA CD. ZONA MINERVA, AMPLIOS ESPACIOS Y MUY BUENA DISTRIBUCIÓN A ESPALDAS DEL HOTEL FIESTA AMERICANA Y A UNA CUADRA DE AV. VALLARTA.",229m²,229m²,Publicado hace 6 días,56378303
Comoda y Ubicada Casa en Una Sola Planta.,VOLCAN COSIGUINA 3979,"MN 1,850,000","Hermosa y comoda casa, en un solo nivel, a unas cuadras de la parada del Tren ligero, y cerca del Periferico. Con una recamara muy amplia, cocina integral de madera. Lista para ampliar el segundo piso. Es una excelente inversion. Lista para habitarse. Unicos propietarios, todo en regla. Se aceptan creditos.",90m²,144m²,Publicado hace 41 días,
Casa en Venta Remodelada en Providencia,Ruben Dario 1722,"MN 4,500,000","Excelente casa en venta en providencia, dentro de coto de pocas casas con acceso controlado, dos plantas, las recamaras cuentan con baño completo, cocina remodelada, comedor, sala, patio de servicio, tiene caseta de vigilancia, estacionamiento para dos automóviles, muy iluminada, amplios espacios y buena altura. Muy cerca de Av Americas, Pablo Neruda y Avenida Patria.",148m²,160m²,Publicado hoy,55246825
Casa de Lujo en Providencia Remodelada,,"MN 13,300,000","Residencia de lujo en Providencia remodelada de 4 recamaras$13,300,000Informes Alejandro MoralesVer datosPreciosa residencia con acabados de lujo, moderna, semi Nueva, ubicada en zona privilegiada de Guadalajara a unas cuadras de Punto Sao PauloLas medidas de la propiedad son: 260m2 de terreno y 460m2 de construccionPlanta alta: Cuenta 4 recamaras cada una con Baño completo y walking closets, la recamara principal muy amplia con ventana de triple vidrio aislante. Estar de televisión Planta baja: cocina nueva con acabados en granito y ParotaAmplio Recibidor abierto, hermosa sala con chimenea, comedor con espectacular librero.Cuenta con terraza con bar en madera de Parota, jardín con muro lloron, area de lavado y tendido.A su vez una recamara de servicio con Baño completo en la planta baja de la propiedadCuenta con con 3 lugares de estacionamiento. Cochera electrica, camaras de seguridad y reja electrificadaInformesAlejandro Morales Ver datos",460m²,260m²,Publicado hace 38 días,
Casa en Ladrón de Guevara Totalmente Remodelada,,"MN 8,990,000","Hermosa residencia totalmente remodelada en una increíble ubicación con sistema de sonido integrado en terraza, Sala y estudio. Baños con Mármol y accesorios de lujoCuarto de servicioPB Medio baño para visitas, sala comedor, cocina con barra central y amplios espacios, jardin con terraza.PA Estar de TV, 3 baños completos y 3 recamaras con A/A, la principal con walking closet y baño con uno de los baños completos además tiene tina. Terraza con vista al jardin trasero",341m²,295m²,Publicado hace 43 días,
"Excelente Casa Cerca de Gran Terraza Oblatos, Frente a Parque.",HDA PLUTARCO ELIAS CALLES,"MN 950,000","CASA CON AMPLIACION, COCHERA CUBIERTA UN AUTO, SALA, COMEDOR, COCINA INTEGRAL CON PRETIL, BAÑO DE VISITAS, Y AREA DE LAVADO. PLANTA ALTA, DOS RECAMARAS UNA CON CLOSET, UN BAÑO COMPLETO, ATRAS DE PREPA 18 UDG, CUENTA CON PEQUEÑA TERRAZA PARA EVENTOS. LIBRE DE GRAVAMEN, PRECIO NEGOCIABLE.",142m²,62m²,Publicado hace 5 días,
Casa en Venta en Monraz,Avenida Manuel Acuña 3438,"MN 10,900,000","Casa en Col. Monraz, pegado a Providencia.Casa construida en 4 medios niveles.Distribucion: P. B. cochera 3 autos, recamara, 1/2 baño y recibidor. Subnivel: Sala, Comedor, Cocina Integral, patio con area de lavado, cuarto de servicio con baño completo y terraza con jardin. 1er piso: Estar de TV, 2 recamaras con baño cada una. 2do piso: Recamara con baño completo.",456m²,392m²,Publicado hace 80 días,55920805
